16916, 0, 0
62493, 0, 1
30198, 29, 2
53683, 108, 3
40185, 0, 4
28781, 0, 5
24462, 23, 6
48399, 67, 7
64815, 75, 8
18295, -35, 9
12218, 11, 10
22760, 0, 11
57982, 56, 12
27966, 27, 13
54894, 53, 14
38929, 0, 15
32865, 0, 16
64243, -68, 17
2315, 66, 18
64454, 62, 19
55041, 0, 20
18633, 0, 21
14557, 0, 22
61006, 59, 23
62615, 37, 1
7591, 105, 24
64747, 58, 25
6727, -111, 26
32315, -114, 27
60645, 0, 28
6308, 0, 29
45688, 0, 30
969, 0, 31
40891, -18, 32
49294, 48, 33
41118, 40, 34
21395, -28, 35
6091, -14, 36
32541, 0, 37
17665, 0, 38
3784, 0, 39
28718, 28, 5
59240, 0, 40
40178, 39, 4
60086, 58, 41
42252, 0, 42
44770, 43, 43
22514, 21, 44
3067, -2, 45
15757, 0, 46
31649, 0, 47
10842, 10, 48
43765, 0, 49
33405, 0, 50
44954, 43, 51
56657, 0, 52
5003, -30, 53
50227, 12, 54
19358, 18, 55
36529, 0, 56
10392, 0, 57
58882, 57, 58
5129, 0, 59
58554, 57, 60
58584, 0, 60
27444, 0, 61
58982, 57, 58
51476, 0, 62
6796, 0, 26
21311, -49, 35
30705, 0, 63
28964, 0, 64
41003, 10, 34
20259, -56, 65
57857, 0, 12
63258, 61, 66
36374, 35, 56
692, 0, 67
43121, 0, 68
48128, 0, 69
34561, 0, 70
49213, 0, 33
36922, 36, 71
59162, 57, 40
50552, 0, 72
17866, 17, 38
18145, 0, 73
3884, 0, 74
54388, 0, 75
42932, 0, 76
46919, -47, 77
58892, 0, 58
8620, 0, 78
38336, 0, 79
64357, 0, 19
23387, -42, 80
42632, 0, 81
15913, 0, 82
15679, 79, 46
22501, 0, 44
37540, 0, 83
5527, 101, 84
63921, 0, 85
62716, 0, 1
32874, 32, 16
64390, 62, 19
63101, 0, 86
61802, 60, 87
19648, 0, 88
29031, 89, 64
44981, 0, 51
28092, 0, 13
9448, 0, 89
44744, 0, 43
61496, 0, 90
31453, 0, 91
60746, 59, 92
12199, -23, 10
62255, -53, 93
21793, 0, 94
26544, 0, 95
14964, 0, 96
41462, 40, 97
56089, 0, 98
52038, 50, 99
47982, 46, 100
59484, 0, 101
50924, 0, 102
6942, 6, 103
34998, 34, 104
27069, 0, 105
51926, 50, 106
60645, 0, 28
43181, 0, 68
10559, 79, 107
4664, 0, 108
28578, 27, 109
59516, 0, 101
38912, 0, 15
63562, 62, 110
64846, 63, 8
62938, 61, 111
27194, 26, 112
28804, 0, 5
61703, 65, 87
10998, 10, 48
6596, 0, 113
37721, 0, 114
43430, 42, 115
22692, 0, 11
62971, 126, 111
47125, 0, 116
52521, 0, 117
34646, 33, 70
32889, 0, 16
13055, -65, 118
65416, 0, 119
62869, 0, 111
57314, 55, 120
